4.00157700106502,VerticalRain
5.03596579842269,StartTriangleV1
5.91007379256189,StopTriangleV1
6.64290108345449,StartTriangleV1
7.1559573803097,VerticalRain
7.60870207287371,StopTriangleV1
8.97279947064817,StartSwarmV3
70.0316571760923,StopSwarmV3
111.148871082813,OnRotateScene,Value=0.6062992
111.148871082813,OnRotateScene,Value=0.6141732
111.148871082813,OnRotateScene,Value=0.6220472
111.148871082813,OnRotateScene,Value=0.6299213
111.148871082813,OnRotateScene,Value=0.6377953
111.148871082813,OnRotateScene,Value=0.6456693
111.148871082813,OnRotateScene,Value=0.6535434
111.148871082813,OnRotateScene,Value=0.6614174
111.148871082813,OnRotateScene,Value=0.6771654
111.829582683742,OnRotateScene,Value=0.7874016
111.829582683742,OnRotateScene,Value=0.7795275
111.829582683742,OnRotateScene,Value=0.7716535
111.829582683742,OnRotateScene,Value=0.7637795
111.829582683742,OnRotateScene,Value=0.7559055
111.829582683742,OnRotateScene,Value=0.7480315
111.829582683742,OnRotateScene,Value=0.7401575
111.829582683742,OnRotateScene,Value=0.7322835
111.829582683742,OnRotateScene,Value=0.7165354
111.829582683742,OnRotateScene,Value=0.7086614
111.829582683742,OnRotateScene,Value=0.7007874
111.829582683742,OnRotateScene,Value=0.6929134
111.829582683742,OnRotateScene,Value=0.6771654
111.829582683742,OnRotateScene,Value=0.6692914
111.829582683742,OnRotateScene,Value=0.6614174
111.829582683742,OnRotateScene,Value=0.6535434
111.829582683742,OnRotateScene,Value=0.6456693
111.829582683742,OnRotateScene,Value=0.6377953
111.829582683742,OnRotateScene,Value=0.6299213
111.829582683742,OnRotateScene,Value=0.6141732
111.829582683742,OnRotateScene,Value=0.6062992
111.829582683742,OnRotateScene,Value=0.5984252
111.829582683742,OnRotateScene,Value=0.5905512
111.829582683742,OnRotateScene,Value=0.5826772
111.829582683742,OnRotateScene,Value=0.5669292
111.829582683742,OnRotateScene,Value=0.5590551
111.829582683742,OnRotateScene,Value=0.5511811
111.829582683742,OnRotateScene,Value=0.5433071
111.829582683742,OnRotateScene,Value=0.5275591
111.829582683742,OnRotateScene,Value=0.5196851
111.829582683742,OnRotateScene,Value=0.5118111
111.829582683742,OnRotateScene,Value=0.5039371
111.829582683742,OnRotateScene,Value=0.488189
111.829582683742,OnRotateScene,Value=0.480315
112.531897678971,OnRotateScene,Value=0.5590551
112.531897678971,OnRotateScene,Value=0.5669292
112.531897678971,OnRotateScene,Value=0.5748032
112.531897678971,OnRotateScene,Value=0.5826772
112.531897678971,OnRotateScene,Value=0.5905512
112.531897678971,OnRotateScene,Value=0.5984252
112.531897678971,OnRotateScene,Value=0.6062992
112.531897678971,OnRotateScene,Value=0.6141732
112.531897678971,OnRotateScene,Value=0.6220472
112.531897678971,OnRotateScene,Value=0.6299213
112.898189079016,OnRotateScene,Value=0.03937008
112.898189079016,OnRotateScene,Value=0.03149607
112.898189079016,OnRotateScene,Value=0.01574803
112.898189079016,OnRotateScene,Value=0
113.238808780909,OnRotateScene,Value=0.01574803
113.238808780909,OnRotateScene,Value=0.02362205
113.238808780909,OnRotateScene,Value=0.03149607
113.238808780909,OnRotateScene,Value=0.03937008
113.238808780909,OnRotateScene,Value=0.04724409
113.238808780909,OnRotateScene,Value=0.05511811
113.238808780909,OnRotateScene,Value=0.06299213
113.238808780909,OnRotateScene,Value=0.07086615
113.238808780909,OnRotateScene,Value=0.08661418
113.238808780909,OnRotateScene,Value=0.09448819
113.238808780909,OnRotateScene,Value=0.1023622
113.238808780909,OnRotateScene,Value=0.1102362
113.238808780909,OnRotateScene,Value=0.1181102
113.238808780909,OnRotateScene,Value=0.1259843
113.238808780909,OnRotateScene,Value=0.1338583
114.246685283259,OnRotateScene,Value=0.9291339
114.246685283259,OnRotateScene,Value=0.9370079
114.246685283259,OnRotateScene,Value=0.9448819
114.246685283259,OnRotateScene,Value=0.9527559
114.246685283259,OnRotateScene,Value=0.9606299
114.246685283259,OnRotateScene,Value=0.968504
119.356719171628,OnRotateScene,Value=0.7637795
119.356719171628,OnRotateScene,Value=0.7716535
119.356719171628,OnRotateScene,Value=0.7795275
119.356719171628,OnRotateScene,Value=0.7874016
119.356719171628,OnRotateScene,Value=0.7952756
119.704077171162,OnRotateScene,Value=0.8582677
119.704077171162,OnRotateScene,Value=0.8503937
119.704077171162,OnRotateScene,Value=0.8425197
119.704077171162,OnRotateScene,Value=0.8346457
119.704077171162,OnRotateScene,Value=0.8267717
119.704077171162,OnRotateScene,Value=0.8188977
119.704077171162,OnRotateScene,Value=0.8031496
119.704077171162,OnRotateScene,Value=0.7952756
119.704077171162,OnRotateScene,Value=0.7874016
119.704077171162,OnRotateScene,Value=0.7795275
119.704077171162,OnRotateScene,Value=0.7716535
119.704077171162,OnRotateScene,Value=0.7559055
119.704077171162,OnRotateScene,Value=0.7480315
119.704077171162,OnRotateScene,Value=0.7401575
119.704077171162,OnRotateScene,Value=0.7322835
119.704077171162,OnRotateScene,Value=0.7244095
119.704077171162,OnRotateScene,Value=0.7165354
119.704077171162,OnRotateScene,Value=0.7086614
119.704077171162,OnRotateScene,Value=0.7007874
119.704077171162,OnRotateScene,Value=0.6929134
119.704077171162,OnRotateScene,Value=0.6771654
121.539898166433,OnRotateScene,Value=0.5433071
121.539898166433,OnRotateScene,Value=0.5511811
121.539898166433,OnRotateScene,Value=0.5590551
121.539898166433,OnRotateScene,Value=0.5669292
121.539898166433,OnRotateScene,Value=0.5748032
121.539898166433,OnRotateScene,Value=0.5826772
121.539898166433,OnRotateScene,Value=0.5905512
121.539898166433,OnRotateScene,Value=0.5984252
121.539898166433,OnRotateScene,Value=0.6062992
121.539898166433,OnRotateScene,Value=0.6220472
121.539898166433,OnRotateScene,Value=0.6299213
121.539898166433,OnRotateScene,Value=0.6377953
124.069510273635,OnRotateScene,Value=0.7007874
124.069510273635,OnRotateScene,Value=0.7086614
124.069510273635,OnRotateScene,Value=0.7165354
124.069510273635,OnRotateScene,Value=0.7244095
124.069510273635,OnRotateScene,Value=0.7322835
124.069510273635,OnRotateScene,Value=0.7401575
124.069510273635,OnRotateScene,Value=0.7480315
124.069510273635,OnRotateScene,Value=0.7559055
124.069510273635,OnRotateScene,Value=0.7637795
124.069510273635,OnRotateScene,Value=0.7716535
124.069510273635,OnRotateScene,Value=0.7874016
124.069510273635,OnRotateScene,Value=0.7952756
124.069510273635,OnRotateScene,Value=0.8031496
124.069510273635,OnRotateScene,Value=0.8110237
124.069510273635,OnRotateScene,Value=0.8188977
124.069510273635,OnRotateScene,Value=0.8267717
124.069510273635,OnRotateScene,Value=0.8346457
124.069510273635,OnRotateScene,Value=0.8425197
124.069510273635,OnRotateScene,Value=0.8503937
124.751071378589,OnRotateScene,Value=0.8346457
124.751071378589,OnRotateScene,Value=0.8267717
124.751071378589,OnRotateScene,Value=0.8188977
124.751071378589,OnRotateScene,Value=0.8110237
124.751071378589,OnRotateScene,Value=0.8031496
124.751071378589,OnRotateScene,Value=0.7874016
124.751071378589,OnRotateScene,Value=0.7795275
124.751071378589,OnRotateScene,Value=0.7716535
124.751071378589,OnRotateScene,Value=0.7637795
124.751071378589,OnRotateScene,Value=0.7559055
124.751071378589,OnRotateScene,Value=0.7480315
124.751071378589,OnRotateScene,Value=0.7401575
124.751071378589,OnRotateScene,Value=0.7322835
124.751071378589,OnRotateScene,Value=0.7244095

